model,precision,accuracy,recall,f1,roc_auc,time_elapsed
DummyClassifier,0.46701278966696214,0.5140857192036261,0.46401610468042276,0.46550962448721994,0.4993630016900806,0.004000186920166016
ExtraTreeClassifier,0.8069044006069803,0.8224797750874978,0.8028434826371414,0.8048688193743693,0.820881863852198,2.0669713020324707
RandomForestClassifier,0.9790794979079498,0.9512880830799243,0.912682435832914,0.944715764797812,0.9919891766156209,57.47591018676758
LogisticRegression,0.9409774436090226,0.9477881691433817,0.9447659788626069,0.9428679055750879,0.9878279391405383,9.447485446929932
GradientBoostingClassifier,0.9864383561643836,0.9514602099948362,0.9060140915953699,0.9445173137460651,0.993364460491985,225.04453444480896
DecisionTreeClassifier,0.9235926628716002,0.9282230764817259,0.9185958731756416,0.9210874913265629,0.9275625589642453,38.48373818397522
MultinomialNB,0.9098125976054139,0.9053301967984394,0.8795923502767992,0.8944472876151485,0.962938239735371,2.2272419929504395
soft GBC RFC,0.987051928581164,0.9540421137185151,0.9111726220432813,0.9475956820412169,0.962938239735371,269.49904584884644
soft GBC LR,0.9734375,0.9612140685065121,0.9406139909411173,0.9567443050934221,0.962938239735371,232.43113160133362
soft GBC DTC,0.9262503173394262,0.9293132136095014,0.9180926019124308,0.922153418425376,0.962938239735371,266.86893463134766
soft RFC LR,0.9596919127086008,0.9549027482930748,0.9406139909411173,0.9500571864277545,0.962938239735371,57.88930082321167
soft RFC DTC,0.9243803743045018,0.9290837110562855,0.9197282335178661,0.9220484359233099,0.962938239735371,88.20966172218323
soft LR DTC,0.9258603238866396,0.930231223822365,0.9207347760442879,0.9232904365379763,0.962938239735371,48.942176818847656
soft GBC RFC LR,0.9772906274612759,0.9612140685065121,0.936713638651233,0.9565720159321598,0.962938239735371,287.3405659198761
hard GBC RFC LR,0.9795809422127318,0.9563371392506742,0.9235027679919476,0.9507156272262158,0.962938239735371,280.21359419822693
soft GBC RFC DTC,0.9659300184162063,0.9504274485053646,0.9238802214393558,0.9444372990353698,0.962938239735371,307.116414308548
hard GBC RFC DTC,0.9835754038278811,0.9527798496758276,0.9116758933064922,0.9462618348024813,0.962938239735371,308.19761967658997
soft GBC LR DTC,0.9688976377952756,0.9539847380802111,0.9289129340714645,0.9484840698869477,0.962938239735371,273.18356108665466
hard GBC LR DTC,0.9762315761519055,0.9555338803144185,0.9250125817815803,0.9499321661606047,0.962938239735371,273.517689704895
soft RFC LR DTC,0.9649398220826793,0.95180446382466,0.9280322093608455,0.9461262185736276,0.962938239735371,91.40771532058716
hard RFC LR DTC,0.9703035060177917,0.9565092661655861,0.9331907398087569,0.9513853258081066,0.962938239735371,91.29741048812866
soft GBC RFC LR DTC,0.9742370194213238,0.9558781341442424,0.92778057372924,0.9504414513114648,0.962938239735371,311.3919954299927
hard GBC RFC LR DTC,0.9867268746579091,0.952148717654484,0.907272269753397,0.9453329837441007,0.962938239735371,311.6657648086548
